id,title,type,value,category,default
40,Google Client Secret,google_client_secret,tZBziwUoyKgzbioTPKGTfYeL,general,1
41,Google Url,google_url,/login/google/callback,general,1
42,Mailchimp Api Key,mailchimp_api_key,d648b62b49e2fb3c5b58c5c2f83f52a5-us6,general,1
43,Mailchimp List Id,mailchimp_list_id,23961d753f,general,1
44,CJ Website ID,cj_website_id,100424737,general,1
45,CJ Requestor ID,cj_requestor_id,5835313,general,1
46,CJ Authorization Token,cj_authorization_token,7v15dz0jk80tj3wwp5kmbvyx91,general,1
47,Webgains API Key,webgains_api_key,ef13cee1a4c5ec9ee5864d0e2d535604,general,1
48,Webgains campaignId,webgains_campaignid,1462945,general,1
49,Webgains User Name,webgains_user_name,khuramj,general,1
50,Webgains Password,webgains_password,p9bXV7w2e@nqhQ2,general,1
51,Map Key,map_key,AIzaSyAOxeH_CSvIYJQL8UCa9LnkUUi5AmVcI-c,general,1
52,Awin Publisher ID,awin_publisher_id,740509,general,1
53,Awin Authorization Token,awin_authorization_token,782f574c-8469-45ae-a37b-580d0c8c49c6,general,1
54,Payment Method Charity,payment_method_charity,1,general,1
55,Google Recaptcha Site Key,google_recaptcha_site_key,6Ldiq0AoAAAAAGXLDHpzKva3Qj_7j6K-KxwBxhBB,general,1
56,Google Recaptcha Secret Key,google_recaptcha_secret_key,6Ldiq0AoAAAAAKlCaaXoQYwfSOw1izwAbjGDjwoK,general,1
57,Facebook,facebook,https://www.facebook.com/cashblackusa,general,1
58,Twitter,twitter,https://x.com/cashblackusa,general,1
59,Instagram,instagram,https://instagram.com/cashblackusa,general,1
60,Linkedin,linkedin,http://www.linkedin.com/company/cashblack,general,1
61,Tiktok,tiktok,http://www.tiktok.com/@cashblackusa,general,1
62,Pinterest,pinterest,https://www.pinterest.co.uk/cashblackusa/,general,1
63,Youtube,youtube,https://www.youtube.com/@CashblackUSA,general,1
64,Local Stores Ecommerce Website ID,local_stores_ecommerce_website_id,1,general,1
65,Local Stores Lead Generation Website ID,local_stores_lead_generation_website_id,11,general,1
66,Awin Website ID,awin_website_id,779555,general,1
67,Commission Junction - USD Website ID,commission_junction_usd_website_id,100458692,general,1
68,Impact Website ID,impact_website_id,401582,general,1
69,Partnerize Website ID,partnerize_website_id,123123,general,1
70,Afrofiliate Website ID,afrofiliate_website_id,1907,general,1
71,Webgains Website ID,webgains_website_id,17,general,1
72,Next Cashout Amount,next_cashout_amount,2,general,1
73,SendGrid API Key,sendgrid_api_key,"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",general,1
74,SendGrid Newsletter List id,sendgrid_newsletter_list_id,"7ad5e791-0c52-4b1c-831d-c1392ee40a95",general,1
75,SendGrid Registered List id,sendgrid_registered_list_id,"42406c33-6e15-45d7-a0f2-01989cecbe27",general,1
76,Impact Authorization Token,impact_authorization_token,Tra5ravjvWpcmhRbrEe7FGs.Fq-FCezC,general,1
77,Impact SID,impact_account_sid,IRezj2hNZM5Y2704577yZbxaVbr3vcwPV1,general,1
78,Partnerize Publisher ID,partnerize_publisher_id,1011l187663,general,1
79,Partnerize User Application Key,partnerize_application_key,p3tew145y3tag41n,general,1
80,Partnerize User API Key,partnerize_user_api_key,U0DkkEQu,general,1
81,Afrofiliate API Key,afrofiliate_api_key,tDaN0qSATxGVXxM9lFzZqQ,general,1
