id,store_id,user_id,cashout_id,exit_click_id,network_order_id,network_commission_id,details,click_date,event_date,network_commission,order_value,amount,status,type,created_at,updated_at,deleted_at
21,3273,254,,2600,10,,,2021-07-02 11:02:54,2021-07-02 11:02:54,50,500,20,5,cashback,2021-07-02 11:02:54,2021-07-02 11:02:54,
22,3322,195,,2609,11,,,2021-07-05 13:58:47,2021-07-05 13:58:47,20,,8,1,cashback,2021-07-05 13:58:47,2021-07-05 13:58:47,
23,,3,,,,,,2022-01-27 09:17:51,2022-01-27 09:17:51,,,,1,cashback,2022-01-27 09:17:51,2022-01-27 09:17:51,
24,,4,,,,,,2022-01-27 09:19:10,2022-01-27 09:19:10,,,,1,cashback,2022-01-27 09:19:10,2022-01-27 09:19:10,
25,,5,,,,,,2022-01-27 09:24:59,2022-01-27 09:24:59,,,,1,cashback,2022-01-27 09:24:59,2022-01-27 09:24:59,
26,,10,,,,,,2022-02-09 09:24:50,2022-02-09 09:24:50,,,,1,cashback,2022-02-09 09:24:50,2022-02-09 09:24:50,
27,,15,,,,,,2022-02-09 10:58:43,2022-02-09 10:58:43,,,,1,cashback,2022-02-09 10:58:43,2022-02-09 10:58:43,
28,,1,25,,,,,2022-02-11 14:35:47,2022-02-11 14:35:47,,,,1,cashback,2022-02-11 14:35:47,2022-02-11 14:35:47,
29,,8,,,,,,2022-02-11 15:11:52,2022-02-11 15:11:52,,,,1,cashback,2022-02-11 15:11:52,2022-02-11 15:11:52,
30,,7,,,,,,2022-02-11 15:15:05,2022-02-11 15:15:05,,,,1,cashback,2022-02-11 15:15:05,2022-02-11 15:15:05,
31,,65,,,,,,2022-02-11 15:17:39,2022-02-11 15:17:39,,,,1,cashback,2022-02-11 15:17:39,2022-02-11 15:17:39,
32,,66,,,,,,2022-02-11 15:27:41,2022-02-11 15:27:41,,,,1,cashback,2022-02-11 15:27:41,2022-02-11 15:27:41,
33,,67,,,,,,2022-02-11 15:30:54,2022-02-11 15:30:54,,,,1,cashback,2022-02-11 15:30:54,2022-02-11 15:30:54,
34,,68,,,,,,2022-02-11 15:36:16,2022-02-11 15:36:16,,,,1,cashback,2022-02-11 15:36:16,2022-02-11 15:36:16,
35,,69,,,,,,2022-02-11 15:40:02,2022-02-11 15:40:02,,,,1,cashback,2022-02-11 15:40:02,2022-02-11 15:40:02,
36,,70,,,,,,2022-02-11 15:54:15,2022-02-11 15:54:15,,,,1,cashback,2022-02-11 15:54:15,2022-02-11 15:54:15,
37,,71,,,,,,2022-02-16 15:14:25,2022-02-16 15:14:25,,,,1,cashback,2022-02-16 15:14:25,2022-02-16 15:14:25,
38,,75,,,,,,2022-02-17 13:56:56,2022-02-17 13:56:56,,,,1,cashback,2022-02-17 13:56:56,2022-02-17 13:56:56,
39,,76,,,,,,2022-02-25 10:28:42,2022-02-25 10:28:42,,,,1,cashback,2022-02-25 10:28:42,2022-02-25 10:28:42,
40,,77,,,,,,2022-02-25 10:55:33,2022-02-25 10:55:33,,,,1,cashback,2022-02-25 10:55:33,2022-02-25 10:55:33,
41,,78,,,,,,2022-02-25 13:23:01,2022-02-25 13:23:01,,,,1,cashback,2022-02-25 13:23:01,2022-02-25 13:23:01,
42,,79,,,,,,2022-02-25 13:23:56,2022-02-25 13:23:56,,,,1,cashback,2022-02-25 13:23:56,2022-02-25 13:23:56,
43,,80,,,,,,2022-02-27 02:41:32,2022-02-27 02:41:32,,,,1,cashback,2022-02-27 02:41:32,2022-02-27 02:41:32,
44,,81,,,,,,2022-02-28 09:56:35,2022-02-28 09:56:35,,,,1,cashback,2022-02-28 09:56:35,2022-02-28 09:56:35,
45,,83,,,,,,2022-03-03 07:20:41,2022-03-03 07:20:41,,,,1,cashback,2022-03-03 07:20:41,2022-03-03 07:20:41,
46,,85,,,,,,2022-03-05 23:28:51,2022-03-05 23:28:51,,,,1,cashback,2022-03-05 23:28:51,2022-03-05 23:28:51,
47,,86,,,,,,2022-03-06 01:04:25,2022-03-06 01:04:25,,,,1,cashback,2022-03-06 01:04:25,2022-03-06 01:04:25,
48,,87,,,,,,2022-03-07 01:44:07,2022-03-07 01:44:07,,,,1,cashback,2022-03-07 01:44:07,2022-03-07 01:44:07,
49,,88,,,,,,2022-03-07 02:57:26,2022-03-07 02:57:26,,,,1,cashback,2022-03-07 02:57:26,2022-03-07 02:57:26,
50,,90,,,,,,2022-03-07 09:31:22,2022-03-07 09:31:22,,,,1,cashback,2022-03-07 09:31:22,2022-03-07 09:31:22,
51,,89,,,,,,2022-03-07 16:06:20,2022-03-07 16:06:20,,,,1,cashback,2022-03-07 16:06:20,2022-03-07 16:06:20,
52,,91,,,,,,2022-03-09 15:31:33,2022-03-09 15:31:33,,,,1,cashback,2022-03-09 15:31:33,2022-03-09 15:31:33,
53,,94,,,,,,2022-03-10 13:43:09,2022-03-10 13:43:09,,,,1,cashback,2022-03-10 13:43:09,2022-03-10 13:43:09,
54,,95,,,,,,2022-03-10 16:26:58,2022-03-10 16:26:58,,,,1,cashback,2022-03-10 16:26:58,2022-03-10 16:26:58,
55,,97,26,,,,,2022-03-10 16:51:47,2022-03-10 16:51:47,,12000,,1,cashback,2022-03-10 16:51:47,2022-03-10 16:51:47,
56,,99,,,,,,2022-03-11 00:16:54,2022-03-11 00:16:54,,,,1,cashback,2022-03-11 00:16:54,2022-03-11 00:16:54,
57,,107,,,,,,2022-03-16 14:17:36,2022-03-16 14:17:36,,,,1,cashback,2022-03-16 14:17:36,2022-03-16 14:17:36,
58,,108,,,,,,2022-03-16 15:54:31,2022-03-16 15:54:31,,,,1,cashback,2022-03-16 15:54:31,2022-03-16 15:54:31,
59,,111,30,,,,,2022-03-17 11:56:27,2022-03-17 11:56:27,1000,1000,,1,cashback,2022-03-17 11:56:27,2022-03-17 11:56:27,
60,,112,,,,,,2022-03-20 02:17:11,2022-03-20 02:17:11,,,,1,cashback,2022-03-20 02:17:11,2022-03-20 02:17:11,
61,,113,,,,,,2022-03-20 14:52:31,2022-03-20 14:52:31,,,,1,cashback,2022-03-20 14:52:31,2022-03-20 14:52:31,
62,,115,,,,,,2022-03-24 09:06:11,2022-03-24 09:06:11,,,,1,cashback,2022-03-24 09:06:11,2022-03-24 09:06:11,
63,,127,,,,,,2022-03-24 11:35:07,2022-03-24 11:35:07,,,,1,cashback,2022-03-24 11:35:07,2022-03-24 11:35:07,
64,,129,,,,,,2022-03-26 22:29:37,2022-03-26 22:29:37,,,,1,cashback,2022-03-26 22:29:37,2022-03-26 22:29:37,
65,,130,,,,,,2022-03-28 01:38:19,2022-03-28 01:38:19,,,,1,cashback,2022-03-28 01:38:19,2022-03-28 01:38:19,
66,,131,,,,,,2022-03-28 02:14:46,2022-03-28 02:14:46,,,,1,cashback,2022-03-28 02:14:46,2022-03-28 02:14:46,
67,,133,,,,,,2022-04-02 22:52:30,2022-04-02 22:52:30,,,,1,cashback,2022-04-02 22:52:30,2022-04-02 22:52:30,
68,,134,,,,,,2022-04-02 23:47:20,2022-04-02 23:47:20,,,,1,cashback,2022-04-02 23:47:20,2022-04-02 23:47:20,
69,,135,,,,,,2022-04-03 12:35:58,2022-04-03 12:35:58,,,,1,cashback,2022-04-03 12:35:58,2022-04-03 12:35:58,
70,,136,,,,,,2022-04-03 20:00:24,2022-04-03 20:00:24,,,,1,cashback,2022-04-03 20:00:24,2022-04-03 20:00:24,
71,,137,,,,,,2022-04-03 20:39:10,2022-04-03 20:39:10,,,,1,cashback,2022-04-03 20:39:10,2022-04-03 20:39:10,
72,,138,,,,,,2022-04-04 19:11:59,2022-04-04 19:11:59,,,,1,cashback,2022-04-04 19:11:59,2022-04-04 19:11:59,
73,,139,,,,,,2022-04-05 00:10:25,2022-04-05 00:10:25,,,,1,cashback,2022-04-05 00:10:25,2022-04-05 00:10:25,
74,,140,,,,,,2022-04-05 16:12:37,2022-04-05 16:12:37,,,,1,cashback,2022-04-05 16:12:37,2022-04-05 16:12:37,
75,,141,,,,,,2022-04-06 08:45:05,2022-04-06 08:45:05,,,,1,cashback,2022-04-06 08:45:05,2022-04-06 08:45:05,
76,,144,,,,,,2022-04-18 02:39:08,2022-04-18 02:39:08,,,,1,cashback,2022-04-18 02:39:08,2022-04-18 02:39:08,
77,,145,,,,,,2022-04-19 00:28:45,2022-04-19 00:28:45,,,,1,cashback,2022-04-19 00:28:45,2022-04-19 00:28:45,
78,,146,,,,,,2022-04-19 00:44:05,2022-04-19 00:44:05,,,,1,cashback,2022-04-19 00:44:05,2022-04-19 00:44:05,
79,,147,,,,,,2022-04-25 01:41:37,2022-04-25 01:41:37,,,,1,cashback,2022-04-25 01:41:37,2022-04-25 01:41:37,
80,,148,,,,,,2022-04-26 13:15:52,2022-04-26 13:15:52,,,,1,cashback,2022-04-26 13:15:52,2022-04-26 13:15:52,
81,,151,,,,,,2022-05-01 03:08:59,2022-05-01 03:08:59,,,,1,cashback,2022-05-01 03:08:59,2022-05-01 03:08:59,
82,,152,,,,,,2022-05-10 12:08:50,2022-05-10 12:08:50,,,,1,cashback,2022-05-10 12:08:50,2022-05-10 12:08:50,
83,,153,,,,,,2022-05-10 13:40:12,2022-05-10 13:40:12,,,,1,cashback,2022-05-10 13:40:12,2022-05-10 13:40:12,
84,,154,,,,,,2022-05-12 01:03:40,2022-05-12 01:03:40,,,,1,cashback,2022-05-12 01:03:40,2022-05-12 01:03:40,
85,,155,,,,,,2022-05-12 03:03:02,2022-05-12 03:03:02,,,,1,cashback,2022-05-12 03:03:02,2022-05-12 03:03:02,
86,,156,,,,,,2022-05-26 18:34:40,2022-05-26 18:34:40,,,,1,cashback,2022-05-26 18:34:40,2022-05-26 18:34:40,
87,,157,,,,,,2022-05-26 19:29:55,2022-05-26 19:29:55,,,,1,cashback,2022-05-26 19:29:55,2022-05-26 19:29:55,
88,,158,,,,,,2022-05-26 23:42:27,2022-05-26 23:42:27,,,,1,cashback,2022-05-26 23:42:27,2022-05-26 23:42:27,
89,,159,,,,,,2022-06-03 18:38:45,2022-06-03 18:38:45,,,,1,cashback,2022-06-03 18:38:45,2022-06-03 18:38:45,
90,,160,,,,,,2022-06-03 19:18:49,2022-06-03 19:18:49,,,,1,cashback,2022-06-03 19:18:49,2022-06-03 19:18:49,
91,,161,,,,,,2022-06-06 12:12:11,2022-06-06 12:12:11,,,,1,cashback,2022-06-06 12:12:11,2022-06-06 12:12:11,
92,,162,,,,,,2022-06-06 12:28:33,2022-06-06 12:28:33,,,,1,cashback,2022-06-06 12:28:33,2022-06-06 12:28:33,
93,,163,,,,,,2022-06-06 23:56:26,2022-06-06 23:56:26,,,,1,cashback,2022-06-06 23:56:26,2022-06-06 23:56:26,
94,,164,,,,,,2022-06-10 20:42:32,2022-06-10 20:42:32,,,,1,cashback,2022-06-10 20:42:32,2022-06-10 20:42:32,
95,,165,,,,,,2022-06-10 20:42:36,2022-06-10 20:42:36,,,,1,cashback,2022-06-10 20:42:36,2022-06-10 20:42:36,
96,,166,,,,,,2022-06-10 21:06:23,2022-06-10 21:06:23,,,,1,cashback,2022-06-10 21:06:23,2022-06-10 21:06:23,
97,,167,,,,,,2022-06-15 18:01:22,2022-06-15 18:01:22,,,,1,cashback,2022-06-15 18:01:22,2022-06-15 18:01:22,
98,,168,,,,,,2022-06-20 19:48:53,2022-06-20 19:48:53,,,,1,cashback,2022-06-20 19:48:53,2022-06-20 19:48:53,
99,,169,,,,,,2022-06-23 15:45:30,2022-06-23 15:45:30,2,5,,1,cashback,2022-06-23 15:45:30,2022-06-23 15:45:30,
100,9,22,,99,1,,,2022-06-23 16:08:07,2022-06-23 16:08:07,5,10,5,4,cashback,2022-06-23 16:08:07,2022-06-23 16:08:07,
101,2938,169,,8263,1,,,2022-06-23 16:10:33,2022-06-23 16:10:33,50,150,50,4,cashback,2022-06-23 16:10:33,2022-06-23 16:10:33,
102,2482,169,,8264,1,,,2022-06-23 16:12:10,2022-06-23 16:12:10,123,250,123,5,cashback,2022-06-23 16:12:10,2022-06-23 16:12:10,
103,5,22,,356,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,0.78,10.83,0.31,1,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
104,9,22,,316,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,0.78,10.83,0.31,1,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
105,9,22,,329,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,1.07,15,0.43,1,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
106,9,22,,306,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,0.78,10.83,0.31,1,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
107,9,22,,256,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,0.96,13.33,0.38,5,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
108,9,22,,156,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,1.11,12.49,0.44,1,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
109,5,22,,65,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,1.78,50,0.71,2,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
110,1765,7,,20,1,,,2022-06-23 16:21:15,2022-06-23 16:21:15,4.78,107.5,1.91,1,cashback,2022-06-23 16:21:15,2022-06-23 16:21:15,
111,,172,,,,,,2022-07-06 16:52:30,2022-07-06 16:52:30,,,,1,cashback,2022-07-06 16:52:30,2022-07-06 16:52:30,
112,,173,,,,,,2022-07-06 17:13:08,2022-07-06 17:13:08,,,,1,cashback,2022-07-06 17:13:08,2022-07-06 17:13:08,
113,,174,,,,,,2022-07-09 20:24:28,2022-07-09 20:24:28,,,,1,cashback,2022-07-09 20:24:28,2022-07-09 20:24:28,
114,,175,,,,,,2022-07-24 22:17:17,2022-07-24 22:17:17,,,,1,cashback,2022-07-24 22:17:17,2022-07-24 22:17:17,
115,,176,,,,,,2022-08-12 15:59:51,2022-08-12 15:59:51,,,,1,cashback,2022-08-12 15:59:51,2022-08-12 15:59:51,
116,,177,,,,,,2022-08-19 11:27:46,2022-08-19 11:27:46,,,,1,cashback,2022-08-19 11:27:46,2022-08-19 11:27:46,
117,,179,,,,,,2022-09-11 21:59:52,2022-09-11 21:59:52,,,,1,cashback,2022-09-11 21:59:52,2022-09-11 21:59:52,
118,,178,,,,,,2022-09-18 22:38:13,2022-09-18 22:38:13,,,,1,cashback,2022-09-18 22:38:13,2022-09-18 22:38:13,
